iter	Logloss
0	0.6566019617
1	0.6243833738
2	0.5959848865
3	0.5703429997
4	0.5479997277
5	0.5282334629
6	0.5103505402
7	0.4946333556
8	0.4805272755
9	0.4672400372
10	0.4558017322
11	0.4454855541
12	0.436971702
13	0.4284298324
14	0.4217607412
15	0.4159973826
16	0.4099782555
17	0.4052174939
18	0.4007414546
19	0.3970198636
20	0.3921969248
21	0.3889082289
22	0.3860368383
23	0.3837101226
24	0.3816142313
25	0.3797401063
26	0.3780777897
27	0.3751327303
28	0.3738147132
29	0.3720366774
30	0.3705215467
31	0.3685691783
32	0.3677351793
33	0.3669913249
34	0.3663234603
35	0.3657114991
36	0.3650134705
37	0.3635935329
38	0.3621791406
39	0.3612184617
40	0.3593198191
41	0.3586296419
42	0.3583352816
43	0.3580093425
44	0.3567650703
45	0.3547652473
46	0.3531259221
47	0.3529908352
48	0.3513683372
49	0.3497391632
50	0.3489193598
51	0.3480064383
52	0.3472131655
53	0.3471497389
54	0.3457625363
55	0.3439353859
56	0.3432445231
57	0.3421619286
58	0.3415554253
59	0.3410891348
60	0.3390846098
61	0.3379847457
62	0.3373335516
63	0.335652021
64	0.3344159767
65	0.3344048732
66	0.3328682958
67	0.3325306558
68	0.3316146001
69	0.3302223748
70	0.3294671912
71	0.3279809547
72	0.327238634
73	0.326659772
74	0.3263437434
75	0.3255537661
76	0.3255265653
77	0.3249042493
78	0.32487377
79	0.3248737672
80	0.3243119304
81	0.3240622437
82	0.3237857925
83	0.3234547761
84	0.3227569861
85	0.3221107262
86	0.3212891032
87	0.3204372798
88	0.3185478399
89	0.3175921173
90	0.3172492564
91	0.3172249251
92	0.316580022
93	0.3165360093
94	0.3163250293
95	0.3154353452
96	0.315432907
97	0.3152433004
98	0.3151862851
99	0.3131478653
100	0.3126426125
101	0.3126021685
102	0.3117199321
103	0.3113245656
104	0.3112056217
105	0.3108088996
106	0.3107740923
107	0.3107719787
108	0.3106176154
109	0.3103714963
110	0.309200102
111	0.3079771446
112	0.3064667828
113	0.306304431
114	0.3058920288
115	0.3058327701
116	0.305254533
117	0.3044800147
118	0.3042808646
119	0.3042517969
120	0.3030741313
121	0.3021982964
122	0.3018775702
123	0.301848253
124	0.3008546693
125	0.2999447704
126	0.2991581227
127	0.2980862669
128	0.2976976565
129	0.29754744
130	0.297248418
131	0.2965362564
132	0.2962055361
133	0.2948790236
134	0.2944144191
135	0.2933790787
136	0.2931803802
137	0.2931308935
138	0.292035909
139	0.291029942
140	0.2908929302
141	0.2903172274
142	0.2892003522
143	0.2891409691
144	0.2887751105
145	0.2879123597
146	0.2873642956
147	0.2873119754
148	0.2870587162
149	0.2862139971
150	0.2858935533
151	0.28567821
152	0.2856441489
153	0.2849703491
154	0.2848399981
155	0.2845675844
156	0.2845164295
157	0.2842125881
158	0.2840629767
159	0.2837724648
160	0.2836061799
161	0.2821473753
162	0.2812679522
163	0.2810228452
164	0.2808100826
165	0.2807478486
166	0.2805919041
167	0.2805177046
168	0.2804236103
169	0.2801754335
170	0.2801243156
171	0.279635176
172	0.2787605584
173	0.2786961362
174	0.2786576766
175	0.2780600726
176	0.2773085499
177	0.2772374251
178	0.276417523
179	0.2763636146
180	0.2750767128
181	0.2730203722
182	0.2721936702
183	0.2713029342
184	0.2710023792
185	0.2704049005
186	0.2693634866
187	0.2692305799
188	0.2691031429
189	0.2690616215
190	0.268954643
191	0.268895263
192	0.2688419161
193	0.2686941963
194	0.2681753013
195	0.2669835545
196	0.2665386166
197	0.2661974197
198	0.2657699385
199	0.2654848014
200	0.2650235296
201	0.2648151608
202	0.2644078708
203	0.2643526682
204	0.2642914884
205	0.264253832
206	0.2640394834
207	0.2638796756
208	0.2632681238
209	0.2629975066
210	0.2628703137
211	0.2615806004
212	0.2612203516
213	0.2598631893
214	0.2594559929
215	0.2587943381
216	0.257931242
217	0.2574437256
218	0.2568643642
219	0.2553875819
220	0.2548934832
221	0.2540379995
222	0.2538497793
223	0.2537679167
224	0.2537184552
225	0.2531704624
226	0.2529238475
227	0.2523082192
228	0.2520909661
229	0.2519396107
230	0.2519061587
231	0.2516212457
232	0.2508572296
233	0.2505782176
234	0.2503883386
235	0.2495438298
236	0.2489250223
237	0.2488070933
238	0.248202578
239	0.2470853104
240	0.2468555625
241	0.2464321453
242	0.2457340433
243	0.2454408196
244	0.2453284993
245	0.2452972936
246	0.2452848952
247	0.2446890246
248	0.2442679583
249	0.2439415218
250	0.2433800661
251	0.2432294998
252	0.2428038816
253	0.2427577176
254	0.2419702715
255	0.2419448068
256	0.2410229627
257	0.2409101685
258	0.2407758831
259	0.2407393372
260	0.2406638274
261	0.2406477684
262	0.2403010444
263	0.239844696
264	0.239663246
265	0.2394663059
266	0.2393826485
267	0.2392975847
268	0.2390695646
269	0.2385836255
270	0.2379974909
271	0.2371658477
272	0.236904476
273	0.2368857285
274	0.2365371993
275	0.2361744332
276	0.2359930089
277	0.2357129185
278	0.235375681
279	0.2348462829
280	0.2344813847
281	0.2339972383
282	0.2337792038
283	0.2329941289
284	0.23213785
285	0.2312938904
286	0.2303465346
287	0.2297788455
288	0.2297048404
289	0.2290323055
290	0.2284505636
291	0.2279277143
292	0.2279054381
293	0.2268913505
294	0.2265867254
295	0.2258098025
296	0.2254628648
297	0.2250855446
298	0.2246889964
299	0.2243126886
300	0.2239181563
301	0.2235901157
302	0.2235580279
303	0.2233088261
304	0.2223312165
305	0.2218865151
306	0.2218433674
307	0.2210779653
308	0.2208513677
309	0.2207965355
310	0.2202379465
311	0.2202228699
312	0.2202000986
313	0.2197165984
314	0.2194188139
