iter	Logloss
315	0.2193037816
316	0.2193002597
317	0.2189650913
318	0.218650973
319	0.2185409827
320	0.2182145839
321	0.2175061488
322	0.2173582751
323	0.2170608854
324	0.2158897583
325	0.2149766157
326	0.2146210067
327	0.2143808752
328	0.2141414299
329	0.2135740273
330	0.2132867473
331	0.2130120534
332	0.2129859353
333	0.2124681223
334	0.2124359091
335	0.2119296046
336	0.2116498717
337	0.2107996749
338	0.2104254473
339	0.2103754288
340	0.2096967108
341	0.2089059918
342	0.2085795222
343	0.2080043863
344	0.2078760863
345	0.2072900889
346	0.2072707254
347	0.2071709147
348	0.2064214696
349	0.2063990354
350	0.2063673161
351	0.2062450966
352	0.2062237212
353	0.205497114
354	0.2049848949
355	0.2048132115
356	0.204420289
357	0.2043788151
358	0.2042289968
359	0.204087464
360	0.2039632446
361	0.2038067591
362	0.203575326
363	0.2028796206
364	0.2025714496
365	0.2024329653
366	0.2024148567
367	0.2022983893
368	0.2018885136
369	0.2017217051
370	0.2010191767
371	0.2003177958
372	0.1997336526
373	0.1994750754
374	0.199270304
375	0.1989336141
376	0.1982256465
377	0.1981980606
378	0.1978685808
379	0.1976828589
380	0.1975458092
381	0.1971940862
382	0.1970572479
383	0.1965178246
384	0.1960261194
385	0.1958436581
386	0.1954041881
387	0.1949173201
388	0.1948918219
389	0.1947830901
390	0.1943479103
391	0.194205158
392	0.1938030323
393	0.1934933492
394	0.1934474379
395	0.1932936386
396	0.193258506
397	0.1930856181
398	0.1929205883
399	0.1924999569
400	0.1920541564
401	0.1918889714
402	0.1915449787
403	0.1913780177
404	0.1910280254
405	0.1905181627
406	0.1904200618
407	0.1900792007
408	0.1897345321
409	0.1887821332
410	0.1885799502
411	0.188527696
412	0.1880096006
413	0.1877914537
414	0.1876560985
415	0.1874714699
416	0.1872690008
417	0.1871539164
418	0.187078299
419	0.1866479348
420	0.1861957523
421	0.1860032474
422	0.1855031387
423	0.1850880368
424	0.1846277764
425	0.1842215578
426	0.1841810195
427	0.1839775413
428	0.1839675303
429	0.183680641
430	0.1835798127
431	0.1828346715
432	0.1826921816
433	0.1815580407
434	0.181199224
435	0.1811818657
436	0.1804598604
437	0.1799659677
438	0.1793361124
439	0.1792360026
440	0.179206067
441	0.1791935973
442	0.178848545
443	0.1786880642
444	0.178428989
445	0.1780940855
446	0.1777499029
447	0.1772074164
448	0.1767489968
449	0.1762369481
450	0.1760064127
451	0.1758598518
452	0.1758195944
453	0.1757332811
454	0.1754170239
455	0.175242847
456	0.1747660257
457	0.1747325169
458	0.1743224862
459	0.174166168
460	0.1736440767
461	0.1736355032
462	0.1733307106
463	0.1730960943
464	0.1727179811
465	0.1724493674
466	0.1721597317
467	0.1720219271
468	0.1719207744
469	0.1719019595
470	0.1717413804
471	0.1710104446
472	0.1709939798
473	0.1706587891
474	0.1703817323
475	0.169808303
476	0.1696058394
477	0.1691672238
478	0.1689997246
479	0.1683829036
480	0.1683472888
481	0.1681577507
482	0.1680135668
483	0.1678829159
484	0.1678733132
485	0.1677356778
486	0.1673578297
487	0.1670067323
488	0.1666739483
489	0.166272445
490	0.1658805425
491	0.1658538879
492	0.1655243849
493	0.1651658965
494	0.1649674301
495	0.1644923981
496	0.1638363965
497	0.1635920507
498	0.1631611408
499	0.1626898644
